Longitude,Latitude,Depth (m),Filename
-57.79156583,-64.93934917,427.86,TIMER_2019_03_06_at_05_01_37_IMG_0055
-57.79230533,-64.93906483,429.96,TIMER_2019_03_06_at_05_08_44_IMG_0081
-57.79280333,-64.93887267,429.91,TIMER_2019_03_06_at_05_13_18_IMG_0104
-57.79322817,-64.938662,430.77,TIMER_2019_03_06_at_05_17_46_IMG_0128
-57.7938015,-64.93799917,437.66,TIMER_2019_03_06_at_05_18_25_IMG_0133
-57.7934075,-64.93861917,430.35,TIMER_2019_03_06_at_05_19_15_IMG_0138
-57.79394717,-64.93838067,430.48,TIMER_2019_03_06_at_05_24_29_IMG_0167
-57.79443683,-64.93822083,430.48,TIMER_2019_03_06_at_05_28_23_IMG_0187
-57.79293883,-64.9380035,422.55,TIMER_2019_03_06_at_05_28_47_IMG_0190
-57.79462217,-64.93816183,430.82,TIMER_2019_03_06_at_05_29_51_IMG_0196
-57.79519717,-64.93790383,430.75,TIMER_2019_03_06_at_05_35_15_IMG_0225
-57.7958085,-64.93764433,431.11,TIMER_2019_03_06_at_05_40_47_IMG_0253
-57.79595283,-64.93755883,431.36,TIMER_2019_03_06_at_05_42_16_IMG_0261
-57.79717367,-64.9365915,436.79,TIMER_2019_03_06_at_05_48_59_IMG_0001
-57.79698533,-64.937148,431.79,TIMER_2019_03_06_at_05_51_21_IMG_0010
-57.79739517,-64.93694567,432.0,TIMER_2019_03_06_at_05_55_36_IMG_0002
-57.79785217,-64.936722,432.4,TIMER_2019_03_06_at_06_00_10_IMG_0021
-57.79839667,-64.93604283,439.21,TIMER_2019_03_06_at_06_00_41_IMG_0024
-57.79844333,-64.93601067,439.17,TIMER_2019_03_06_at_06_01_01_IMG_0026
-57.79844333,-64.93601067,439.17,TIMER_2019_03_06_at_06_01_11_IMG_0027
-57.79823967,-64.93654183,432.45,TIMER_2019_03_06_at_06_03_59_IMG_0044
-57.79876317,-64.93628217,433.12,TIMER_2019_03_06_at_06_09_40_IMG_0078
-57.799297,-64.9360695,432.69,TIMER_2019_03_06_at_06_15_37_IMG_0112
-57.79944433,-64.93601133,433.0,TIMER_2019_03_06_at_06_17_04_IMG_0121
-57.8000285,-64.93530183,439.98,TIMER_2019_03_06_at_06_17_58_IMG_0127
-57.79983783,-64.93584867,433.16,TIMER_2019_03_06_at_06_21_00_IMG_0144
-57.80047017,-64.93512583,439.17,TIMER_2019_03_06_at_06_22_32_IMG_0154
-57.80004483,-64.93575617,432.94,TIMER_2019_03_06_at_06_22_53_IMG_0156
-57.80033733,-64.935628,433.18,TIMER_2019_03_06_at_06_25_44_IMG_0172
-57.80094917,-64.9353845,433.61,TIMER_2019_03_06_at_06_30_54_IMG_0204
-57.8015165,-64.93516467,433.91,TIMER_2019_03_06_at_06_35_43_IMG_0232
-57.80219633,-64.93491133,433.98,TIMER_2019_03_06_at_06_41_39_IMG_0268
-57.8027735,-64.93468717,434.26,TIMER_2019_03_06_at_06_46_31_IMG_0302
-57.80339583,-64.93446733,434.06,TIMER_2019_03_06_at_06_51_52_IMG_0336
-57.80381417,-64.93430933,434.01,TIMER_2019_03_06_at_06_55_34_IMG_0358
-57.8044465,-64.9336165,435.79499999999996,TIMER_2019_03_06_at_06_56_05_IMG_0361
-57.80447667,-64.93357117,441.04,TIMER_2019_03_06_at_06_56_27_IMG_0363
