num_train_images,threshold,num_curated_laser_point_colors,red_min,red_max,red_range,precision,recall,f1_score
1,20.206406500618588,28,154,210,56,0.125,0.08333333333333333,0.1
2,36.239169726487084,126,154,255,101,0.4375,0.3333333333333333,0.3625
3,28.359047362569846,107,194,255,61,0.25,0.16666666666666666,0.1875
4,27.65273957525338,115,140,223,83,0.375,0.29166666666666663,0.325
5,33.526034071258714,159,181,255,74,0.4375,0.29166666666666663,0.3375
6,33.526034071258714,159,181,255,74,0.4375,0.29166666666666663,0.3375
7,32.5270730703662,191,185,255,70,0.375,0.29166666666666663,0.325
8,37.06036075692536,272,181,255,74,0.35416666666666663,0.29166666666666663,0.31666666666666665
9,36.04946374395902,286,185,255,70,0.35416666666666663,0.29166666666666663,0.31666666666666665
10,43.71745982286889,416,155,255,100,0.5833333333333333,0.45833333333333337,0.49583333333333335
13,34.1840570890821,440,185,255,70,0.5833333333333333,0.41666666666666663,0.4708333333333333
16,41.11682760440793,453,128,255,127,0.9166666666666666,0.7916666666666666,0.8291666666666666
19,37.34789458948418,674,178,255,77,0.6666666666666666,0.5416666666666666,0.5791666666666666
22,38.43610171627973,738,178,255,77,0.5833333333333333,0.45833333333333326,0.49583333333333335
25,39.12498405085651,785,178,255,77,0.6666666666666666,0.5416666666666666,0.5791666666666666
27,38.80569371414246,893,178,255,77,0.625,0.5,0.5375
30,39.68430582391637,1037,172,255,83,0.6666666666666666,0.5416666666666666,0.5791666666666666
