num_train_images,threshold,num_curated_laser_point_colors,red_min,red_max,red_range,precision,recall,f1_score
1,10.937821843934763,34,224,255,31,0.25,0.13333333333333333,0.16499999999999998
2,23.33193053679064,82,214,255,41,0.4,0.3333333333333333,0.35
3,30.4715230778562,104,160,255,95,0.475,0.39999999999999997,0.42000000000000004
4,26.062634060617285,130,214,255,41,0.525,0.4833333333333333,0.495
5,41.47100507426698,117,154,255,101,0.6416666666666666,0.5,0.5416666666666667
6,43.92479346270015,227,180,255,75,0.5666666666666667,0.5333333333333333,0.5416666666666666
7,25.226379816602375,234,214,255,41,0.6333333333333333,0.5666666666666667,0.5833333333333333
8,27.71623216244009,262,209,255,46,0.65,0.5833333333333333,0.6
9,39.51524144615132,216,135,255,120,0.5666666666666667,0.5666666666666667,0.5666666666666667
10,38.31022191742952,437,189,255,66,0.7333333333333333,0.6666666666666666,0.6883333333333332
13,43.20487489518667,279,149,255,106,0.675,0.6666666666666666,0.6699999999999999
16,23.292610158125235,631,210,255,45,0.75,0.6666666666666667,0.6900000000000001
19,23.269486703448045,774,210,255,45,0.8166666666666668,0.75,0.7716666666666667
22,22.739297887849844,905,210,255,45,0.8166666666666668,0.75,0.7716666666666667
25,23.135829208299853,1042,208,255,47,0.8166666666666668,0.75,0.7716666666666667
27,40.43063855680547,588,155,255,100,0.8333333333333333,0.8,0.8083333333333332
30,23.38718236573509,1228,208,255,47,0.8,0.75,0.7649999999999999
