LP_color_radius,Background_color_radius,threshold,num_curated_laser_point_colors,red_min,red_max,red_range,precision,recall,f1_score
1,10,46.33644354436976,175,160,255,95,0.7142857142857143,0.619047619047619,0.6428571428571429
1,20,78.32220094699788,138,162,255,93,0.09523809523809523,0.09523809523809523,0.09523809523809523
1,25,79.30590888452191,161,121,255,134,0.2857142857142857,0.2857142857142857,0.2857142857142857
1,40,48.80061367324895,197,155,255,100,0.619047619047619,0.619047619047619,0.619047619047619
1,60,91.61803721971486,128,161,255,94,0.14285714285714285,0.14285714285714285,0.14285714285714285
1,80,87.72801530820294,138,162,255,93,0.047619047619047616,0.047619047619047616,0.047619047619047616
1,100,89.41512158180889,134,162,255,93,0.047619047619047616,0.047619047619047616,0.047619047619047616
3,10,33.377388477765855,594,184,255,71,0.6666666666666666,0.42857142857142855,0.49523809523809526
3,20,35.76627781804754,645,179,255,76,0.6428571428571429,0.42857142857142855,0.5
3,25,36.041594063623535,652,179,255,76,0.7142857142857143,0.619047619047619,0.6571428571428571
3,40,35.88179791522925,447,89,222,133,0.619047619047619,0.619047619047619,0.619047619047619
3,60,48.051266008010295,964,147,255,108,0.47619047619047616,0.47619047619047616,0.47619047619047616
3,80,48.394470149160696,960,154,255,101,0.47619047619047616,0.47619047619047616,0.47619047619047616
3,100,49.07338631095099,984,150,255,105,0.47619047619047616,0.47619047619047616,0.47619047619047616
5,10,34.41150979067637,994,158,255,97,0.7142857142857143,0.42857142857142855,0.5
5,20,35.18327094780418,1147,144,255,111,0.7142857142857143,0.5714285714285714,0.6142857142857142
5,25,37.01940315726365,1242,178,255,77,0.6904761904761905,0.619047619047619,0.6476190476190476
5,40,38.0841926258081,1300,173,255,82,0.5714285714285714,0.5714285714285714,0.5714285714285714
5,60,38.27900030830375,1676,102,242,140,0.3333333333333333,0.3333333333333333,0.3333333333333333
5,80,38.86262241927872,1708,103,251,148,0.3333333333333333,0.3333333333333333,0.3333333333333333
5,100,47.65180179159484,1995,141,255,114,0.47619047619047616,0.47619047619047616,0.47619047619047616
10,20,39.763844458070345,1878,162,255,93,0.6666666666666666,0.5714285714285714,0.5952380952380951
10,25,39.5324091197237,1817,169,255,86,0.5714285714285714,0.5714285714285714,0.5714285714285714
10,40,40.24057198505355,1895,166,255,89,0.5238095238095238,0.5238095238095238,0.5238095238095238
10,60,36.9482219828848,3233,98,237,139,0.3333333333333333,0.3333333333333333,0.3333333333333333
10,80,45.245673486502874,2854,125,255,130,0.47619047619047616,0.47619047619047616,0.47619047619047616
10,100,37.360049879043,3426,97,242,145,0.38095238095238093,0.38095238095238093,0.38095238095238093
15,20,45.7008933808571,2787,132,255,123,0.5238095238095238,0.5238095238095238,0.5238095238095238
15,25,45.919998544305734,2803,133,255,122,0.6666666666666666,0.6666666666666666,0.6666666666666666
15,40,46.857462534893465,2892,136,255,119,0.5238095238095238,0.5238095238095238,0.5238095238095238
15,60,46.90578673506979,2936,134,255,121,0.6666666666666666,0.6666666666666666,0.6666666666666666
15,80,47.63976383849465,2990,135,255,120,0.47619047619047616,0.47619047619047616,0.47619047619047616
15,100,48.05728614050156,3048,135,255,120,0.38095238095238093,0.38095238095238093,0.38095238095238093
30,40,34.49818817065388,11944,125,255,130,0.0,0.0,0.0
30,60,31.32245757662479,13064,113,255,142,0.0,0.0,0.0
30,80,31.835644123989614,13114,115,255,140,0.0,0.0,0.0
30,100,48.715433503161044,3329,132,255,123,0.2857142857142857,0.2857142857142857,0.2857142857142857
50,60,15.45613026617334,138724,35,201,166,0.047619047619047616,0.047619047619047616,0.047619047619047616
50,80,15.506805084318263,138122,35,201,166,0.047619047619047616,0.047619047619047616,0.047619047619047616
50,100,15.475845788909112,138701,35,201,166,0.0,0.0,0.0
